01/06/2020,39045/276332=0.141[14.1%],?,?
02/06/2020,39369/277985=0.142[14.2%],324/[1653-7]=0.197[19.7],?
03/06/2020,39728/279856=0.142[14.2%],359/[1871-7]=0.193[19.3],?
04/06/2020,39904/281661=0.142[14.2%],176/[1805-7]=0.098[9.8],?
05/06/2020,40261/283311=0.142[14.2%],357/[1650-7]=0.217[21.7],?
06/06/2020,40465/284868=0.142[14.2%],204/[1557-7]=0.132[13.2],?
07/06/2020,40542/286194=0.142[14.2%],77/[1326-7]=0.058[5.8],?
08/06/2020,40597/287399=0.141[14.1%],55/[1205-7]=0.046[4.6],?
09/06/2020,40883/289140=0.141[14.1%],286/[1741-7]=0.165[16.5],?
10/06/2020,41128/290143=0.142[14.2%],245/[1003-7]=0.246[24.6],?
11/06/2020,41279/291409=0.142[14.2%],151/[1266-7]=0.120[12.0],?
12/06/2020,41481/292950=0.142[14.2%],202/[1541-7]=0.132[13.2],?
13/06/2020,41662/294375=0.142[14.2%],181/[1425-7]=0.128[12.8],?
14/06/2020,41698/295889=0.141[14.1%],36/[1514-7]=0.024[2.4],?
15/06/2020,41736/296857=0.141[14.1%],38/[968-7]=0.040[4.0],?
16/06/2020,41969/298136=0.141[14.1%],233/[1279-7]=0.183[18.3],?
17/06/2020,42153/299251=0.141[14.1%],184/[1115-7]=0.166[16.6],?
18/06/2020,42288/300469=0.141[14.1%],135/[1218-7]=0.111[11.1],?
19/06/2020,42461/301815=0.141[14.1%],173/[1346-7]=0.129[12.9],?
20/06/2020,42589/303110=0.141[14.1%],128/[1295-7]=0.099[9.9],?
21/06/2020,42632/304331=0.140[14.0%],43/[1221-7]=0.035[3.5],?
22/06/2020,42647/305289=0.140[14.0%],15/[958-7]=0.016[1.6],?
